Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Austria,AUT,2021-01-08,31199,0,0,0,0,0,0,0
Austria,AUT,2021-01-15,116000,88,0,0,0,0,0,0
Austria,AUT,2021-01-22,213210,305,0,0,0,0,0,0
Austria,AUT,2021-01-29,257972,4228,1,0,0,0,0,0
Austria,AUT,2021-02-05,353617,5930,3,0,0,0,0,0
Austria,AUT,2021-02-12,455188,10021,10764,0,0,0,0,0
Austria,AUT,2021-02-19,520802,14146,43492,0,0,0,0,0
Austria,AUT,2021-02-26,581917,22513,101197,0,0,0,0,0
Austria,AUT,2021-03-05,686321,31812,156072,0,0,0,0,0
Austria,AUT,2021-03-12,849083,47155,234754,0,0,0,0,0
Austria,AUT,2021-03-19,981655,78935,307984,19,0,0,0,0
Austria,AUT,2021-03-26,1128086,104292,383343,33,0,0,0,0
Austria,AUT,2021-04-02,1276248,140623,421912,58,0,0,0,0
Austria,AUT,2021-04-09,1497586,180134,512295,107,0,0,0,0
Austria,AUT,2021-04-16,1731426,222624,608198,117,0,0,0,0
Austria,AUT,2021-04-23,1995177,259923,657164,122,0,0,0,0
Austria,AUT,2021-04-30,2268775,298883,699621,391,0,0,0,0
Austria,AUT,2021-05-07,2599364,348191,762659,6497,0,0,0,0
Austria,AUT,2021-05-14,2899029,398119,826848,13486,0,0,0,0
Austria,AUT,2021-05-21,3277077,466134,904674,25764,0,0,0,0
Austria,AUT,2021-05-28,3612691,519749,987611,37929,0,0,0,0
Austria,AUT,2021-06-04,4038472,575192,1056295,58270,0,0,0,0
Austria,AUT,2021-06-11,4477498,638229,1151761,79955,0,0,0,0
Austria,AUT,2021-06-18,4932725,687910,1204299,94931,0,0,0,0
Austria,AUT,2021-06-25,5378145,743733,1278329,103508,0,0,0,0
Austria,AUT,2021-07-02,5769634,803847,1386280,128966,0,0,0,0
Austria,AUT,2021-07-09,6096898,854283,1454273,153061,0,0,0,0
Austria,AUT,2021-07-16,6369129,898823,1506094,172337,0,0,0,0
Austria,AUT,2021-07-23,6617286,945340,1535960,188872,0,0,0,0
Austria,AUT,2021-07-30,6827098,964261,1562633,200932,0,0,0,0
Austria,AUT,2021-08-06,7003843,982073,1578199,216059,0,0,0,0
Austria,AUT,2021-08-13,7128221,991529,1584167,226312,0,0,0,0
Austria,AUT,2021-08-20,7220817,1005496,1587528,239652,0,0,0,0
Austria,AUT,2021-08-27,7278504,1009142,1589794,253309,0,0,0,0
Austria,AUT,2021-09-03,7326929,1013899,1592165,266102,0,0,0,0
